type,id,siteId,name,description,ipAddress,url,username,notes,status
EQUIPMENT,eq-nmp-biz-1,site-boi-nampa,NMP - Network - IMG NAS Drive,IMG NAS Drive,10.18.50.1,,,,active
EQUIPMENT,eq-nmp-biz-2,site-boi-nampa,NMP - Computer - Hoff Sever,Hoff Sever,10.18.50.2,,,,active
EQUIPMENT,eq-nmp-biz-3,site-boi-nampa,NMP - Other - Sales Printer,Sales Printer,10.18.50.3,,,,active
EQUIPMENT,eq-nmp-biz-4,site-boi-nampa,NMP - Computer - IMG Camera sever,IMG Camera sever,10.18.50.4,,,,active
EQUIPMENT,eq-nmp-biz-5,site-boi-nampa,NMP - Computer - Middleton NVR,Middleton NVR,10.18.50.5,,,,active
EQUIPMENT,eq-nmp-biz-6,site-boi-nampa,NMP - Computer - Eng Command,Eng Command,10.18.50.6,,,,active
EQUIPMENT,eq-nmp-biz-7,site-boi-nampa,NMP - Network - WireGuard,WireGuard,10.18.50.7,,,,active
EQUIPMENT,eq-nmp-biz-25,site-boi-nampa,NMP - Other - IRG-DC1,IRG-DC1,10.18.50.25,,,,active
EQUIPMENT,eq-nmp-biz-26,site-boi-nampa,NMP - Other - IRG-DC2,IRG-DC2,10.18.50.26,,,,active
EQUIPMENT,eq-nmp-biz-30,site-boi-nampa,NMP - Network - PF SENSE,PF SENSE,10.18.50.30,,,,active
EQUIPMENT,eq-nmp-biz-35,site-boi-nampa,NMP - Other - J-LSlingHDD,J-LSlingHDD,10.18.50.35,,,,active
EQUIPMENT,eq-nmp-biz-40,site-boi-nampa,NMP - Other - IRG-IPROFILER,IRG-IPROFILER,10.18.50.40,,,,active
EQUIPMENT,eq-nmp-biz-41,site-boi-nampa,NMP - Computer - KZMG-Micropc-1,KZMG-Micropc-1,10.18.50.41,,,,active
EQUIPMENT,eq-nmp-biz-42,site-boi-nampa,NMP - Computer - KZMG-Micropc-2,KZMG-Micropc-2,10.18.50.42,,,,active
EQUIPMENT,eq-nmp-biz-43,site-boi-nampa,NMP - Computer - KZMG-INTPC,KZMG-INTPC,10.18.50.43,,,,active
EQUIPMENT,eq-nmp-biz-44,site-boi-nampa,NMP - Computer - KSRV-VOX-PC,KSRV-VOX-PC,10.18.50.44,,,,active
EQUIPMENT,eq-nmp-biz-45,site-boi-nampa,NMP - Network - DISPATCH (NAS),DISPATCH (NAS),10.18.50.45,,,,active
EQUIPMENT,eq-nmp-biz-50,site-boi-nampa,NMP - Other - HP Printer Traffic,HP Printer Traffic,10.18.50.50,,,,active
EQUIPMENT,eq-nmp-biz-51,site-boi-nampa,NMP - Other - BM HP printer,BM HP printer,10.18.50.51,,,,active
EQUIPMENT,eq-nmp-biz-55,site-boi-nampa,NMP - Other - Studio/Programming Printer,Studio/Programming Printer,10.18.50.55,,,,active
EQUIPMENT,eq-nmp-biz-58,site-boi-nampa,NMP - Computer - KQBL-INTPC,KQBL-INTPC,10.18.50.58,,,,active
EQUIPMENT,eq-nmp-biz-70,site-boi-nampa,NMP - Cameras - Nampa Back Hallway,Nampa Back Hallway,10.18.50.70,,,,active
EQUIPMENT,eq-nmp-biz-71,site-boi-nampa,NMP - Cameras - Nampa Common Area 1,Nampa Common Area 1,10.18.50.71,,,,active
EQUIPMENT,eq-nmp-biz-72,site-boi-nampa,NMP - Cameras - Nampa Common Area 2,Nampa Common Area 2,10.18.50.72,,,,active
EQUIPMENT,eq-nmp-biz-73,site-boi-nampa,NMP - Cameras - Nampa Common Area 3,Nampa Common Area 3,10.18.50.73,,,,active
EQUIPMENT,eq-nmp-biz-74,site-boi-nampa,NMP - Cameras - NAMPA LOBBY,NAMPA LOBBY,10.18.50.74,,,,active
EQUIPMENT,eq-nmp-biz-75,site-boi-nampa,NMP - Cameras - NAMPA PROMO OFFICE,NAMPA PROMO OFFICE,10.18.50.75,,,,active
EQUIPMENT,eq-nmp-biz-76,site-boi-nampa,NMP - Cameras - NAMPA RECEPTION,NAMPA RECEPTION,10.18.50.76,,,,active
EQUIPMENT,eq-nmp-biz-77,site-boi-nampa,NMP - Cameras - HOFF LOBBY,HOFF LOBBY,10.18.50.77,,,,active
EQUIPMENT,eq-nmp-biz-78,site-boi-nampa,NMP - Cameras - HOFF EAST HALL,HOFF EAST HALL,10.18.50.78,,,,active
EQUIPMENT,eq-nmp-biz-79,site-boi-nampa,NMP - Cameras - HOFF SOUTH HALL,HOFF SOUTH HALL,10.18.50.79,,,,active
EQUIPMENT,eq-nmp-biz-80,site-boi-nampa,NMP - Cameras - HOFF NORTH HALL,HOFF NORTH HALL,10.18.50.80,,,,active
EQUIPMENT,eq-nmp-biz-81,site-boi-nampa,NMP - Cameras - DEER PT CAM 1,DEER PT CAM 1,10.18.50.81,,,,active
EQUIPMENT,eq-nmp-biz-82,site-boi-nampa,NMP - Cameras - DEER PT CAM 2,DEER PT CAM 2,10.18.50.82,,,,active
EQUIPMENT,eq-nmp-biz-83,site-boi-nampa,NMP - Cameras - DEER PT CAM 3,DEER PT CAM 3,10.18.50.83,,,,active
EQUIPMENT,eq-nmp-biz-85,site-boi-nampa,NMP - Network - Ubiquti DP Radio,Ubiquti DP Radio,10.18.50.85,,,,active
EQUIPMENT,eq-nmp-biz-86,site-boi-nampa,NMP - Network - Ubiquti Hoff Radio,Ubiquti Hoff Radio,10.18.50.86,,,,active
EQUIPMENT,eq-nmp-biz-98,site-boi-nampa,NMP - Network - Production Drive (IRG-ProdDrive),Production Drive (IRG-ProdDrive),10.18.50.98,,,,active
